city,Nb vehicules,Nb vehicules elec,lat,lng,Indice critair,score ecosocial
passy,8937,48,45.9236,6.6864,0.5216167469700781,79.66666666666666
witry les reims,3833,10,49.2931,4.1208,0.5213887899273271,79.75
le cres,6708,30,43.6472,3.9392,0.5194119075335712,71.66666666666666
la fare les oliviers,6258,19,43.5517,5.1947,0.5189363581030539,73.5
la trinite,6537,18,43.7408,7.3142,0.518472825212168,67.08333333333333
montmeyran,2408,13,44.8331,4.975,0.5177248393157852,71.25
sainghin en weppes,3360,6,50.5625,2.9006,0.5171880448828525,77.08333333333334
tourrette levens,3215,10,43.7867,7.2758,0.5169962491025726,72.75
sorbiers,6223,11,45.4878,4.4503,0.5163683184653451,78.75
cornebarrieu,5432,38,43.6494,1.3264,0.5147744463500974,74.08333333333334
betheny,5256,15,49.2847,4.0569,0.5139508207912318,73.33333333333333
savigny sur orge,19676,62,48.6797,2.3457,0.5135312857808092,64.75
gagnac sur garonne,2202,8,43.6989,1.3756,0.5125608309018186,72.75
lespinasse,4096,7,43.7083,1.3858,0.5118296861684075,73.33333333333333
la rochelle,46763,346,46.1591,-1.1517,0.5115385245771198,45.50000000000001
mandres les roses,3532,18,48.7022,2.5444,0.5102906576222344,78.66666666666666
mondonville,3463,17,43.6711,1.2875,0.5095676277626668,73.5
les pennes mirabeau,17299,80,43.4106,5.3103,0.5093013429637496,75.33333333333334
willems,1974,10,50.6319,3.2383,0.5091198124486631,70.66666666666666
romagnat,6112,22,45.7294,3.1006,0.5085214445617843,75.16666666666667
malzeville,4732,11,48.7103,6.1864,0.5077249443766867,58.833333333333336
marseille,427971,2060,43.2964,5.37,0.5064990244564211,39.333333333333336
alixan,2460,27,44.975,5.0275,0.5058480286916813,69.91666666666666
albigny sur saone,1581,2,45.8653,4.8319,0.5055061815404276,69.58333333333333
geispolsheim,6125,35,48.515,7.6464,0.5046803402159559,74.83333333333334
roquefort la bedoule,4639,28,43.2475,5.5908,0.5044538685690867,69.58333333333334
quesnoy sur deule,4494,14,50.7125,2.9994,0.5034127100425536,72.58333333333333
villiers sur marne,13207,48,48.8275,2.5447,0.5028579752384057,63.58333333333333
mimet,3671,22,43.4136,5.5056,0.5020373734771915,78.58333333333334
